window_size,window_id,line_start,line_end,lines,stable_lines,middle_lines,residual_lines,stable_share,middle_share,residual_share,residual_self_adjacent,residual_near_stable,residual_near_middle,residual_self_adjacent_share,residual_near_stable_share,dominant_residual_family_share,dominant_residual_family,local_residue_posture
150,window_019,2701,2850,150,133,0,17,0.8867,0.0,0.1133,15,10,0,0.8824,0.5882,0.0588,t=<num> RESIDUAL_BURST_2702_4772 burst_zone,stable_attached_residual
150,window_020,2851,3000,150,113,0,37,0.7533,0.0,0.2467,33,12,0,0.8919,0.3243,0.027,t=<num> RESIDUAL_EDGE_2879_8006 edge_disturbance,partial_residual_cluster
150,window_021,3001,3150,150,126,0,24,0.84,0.0,0.16,20,15,0,0.8333,0.625,0.0417,t=<num> RESIDUAL_EDGE_3003_9028 edge_disturbance,stable_attached_residual
150,window_022,3151,3300,150,135,0,15,0.9,0.0,0.1,10,10,0,0.6667,0.6667,0.0667,t=<num> RESIDUAL_BURST_3151_5564 burst_zone,stable_attached_residual
150,window_023,3301,3450,150,117,0,33,0.78,0.0,0.22,29,16,0,0.8788,0.4848,0.0303,t=<num> RESIDUAL_EDGE_3316_9906 edge_disturbance,partial_residual_cluster
150,window_024,3451,3600,150,116,0,34,0.7733,0.0,0.2267,30,17,0,0.8824,0.5,0.0294,t=<num> RESIDUAL_EDGE_3541_3356 edge_disturbance,stable_attached_residual
150,window_025,3601,3750,150,145,0,5,0.9667,0.0,0.0333,1,5,0,0.2,1.0,0.2,t=<num> RESIDUAL_BURST_3601_9957 burst_zone,stable_attached_residual
150,window_026,3751,3900,150,117,0,33,0.78,0.0,0.22,28,19,0,0.8485,0.5758,0.0303,t=<num> RESIDUAL_EDGE_3772_1263 edge_disturbance,stable_attached_residual
150,window_027,3901,4000,100,95,0,5,0.95,0.0,0.05,0,5,0,0.0,1.0,0.2,t=<num> RESIDUAL_EDGE_3912_3382 edge_disturbance,stable_attached_residual
175,window_001,1,175,175,142,0,33,0.8114,0.0,0.1886,29,20,0,0.8788,0.6061,0.0303,t=<num> RESIDUAL_BURST_0040_7405 burst_zone,stable_attached_residual
175,window_002,176,350,175,141,0,34,0.8057,0.0,0.1943,29,17,0,0.8529,0.5,0.0294,t=<num> RESIDUAL_BURST_0260_3790 burst_zone,stable_attached_residual
175,window_003,351,525,175,135,0,40,0.7714,0.0,0.2286,35,13,0,0.875,0.325,0.025,t=<num> RESIDUAL_EDGE_0416_7357 edge_disturbance,partial_residual_cluster
175,window_004,526,700,175,173,0,2,0.9886,0.0,0.0114,1,2,0,0.5,1.0,0.5,t=<num> RESIDUAL_EDGE_0682_8844 edge_disturbance,stable_attached_residual
175,window_005,701,875,175,139,0,36,0.7943,0.0,0.2057,31,18,0,0.8611,0.5,0.0278,t=<num> RESIDUAL_BURST_0701_9212 burst_zone,stable_attached_residual
175,window_006,876,1050,175,141,0,34,0.8057,0.0,0.1943,27,17,0,0.7941,0.5,0.0294,t=<num> RESIDUAL_EDGE_0901_9701 edge_disturbance,stable_attached_residual
175,window_007,1051,1225,175,135,0,40,0.7714,0.0,0.2286,34,24,0,0.85,0.6,0.025,t=<num> RESIDUAL_EDGE_1102_5544 edge_disturbance,stable_attached_residual
175,window_008,1226,1400,175,141,0,34,0.8057,0.0,0.1943,28,20,0,0.8235,0.5882,0.0294,t=<num> RESIDUAL_EDGE_1240_5059 edge_disturbance,stable_attached_residual
175,window_009,1401,1575,175,171,0,4,0.9771,0.0,0.0229,2,4,0,0.5,1.0,0.25,t=<num> RESIDUAL_BURST_1401_5355 burst_zone,stable_attached_residual
175,window_010,1576,1750,175,131,0,44,0.7486,0.0,0.2514,38,16,0,0.8636,0.3636,0.0227,t=<num> RESIDUAL_BURST_1580_4739 burst_zone,partial_residual_cluster
175,window_011,1751,1925,175,135,0,40,0.7714,0.0,0.2286,36,16,0,0.9,0.4,0.025,t=<num> RESIDUAL_EDGE_1759_6642 edge_disturbance,partial_residual_cluster
175,window_012,1926,2100,175,140,0,35,0.8,0.0,0.2,29,18,0,0.8286,0.5143,0.0286,t=<num> RESIDUAL_EDGE_1974_8897 edge_disturbance,stable_attached_residual
175,window_013,2101,2275,175,138,0,37,0.7886,0.0,0.2114,29,18,0,0.7838,0.4865,0.027,t=<num> RESIDUAL_EDGE_2107_9520 edge_disturbance,partial_residual_cluster
175,window_014,2276,2450,175,168,0,7,0.96,0.0,0.04,4,7,0,0.5714,1.0,0.1429,t=<num> RESIDUAL_BURST_2277_1092 burst_zone,stable_attached_residual
175,window_015,2451,2625,175,139,0,36,0.7943,0.0,0.2057,30,16,0,0.8333,0.4444,0.0278,t=<num> RESIDUAL_BURST_2463_4576 burst_zone,partial_residual_cluster
175,window_016,2626,2800,175,142,0,33,0.8114,0.0,0.1886,29,20,0,0.8788,0.6061,0.0303,t=<num> RESIDUAL_EDGE_2631_6903 edge_disturbance,stable_attached_residual
175,window_017,2801,2975,175,137,0,38,0.7829,0.0,0.2171,33,13,0,0.8684,0.3421,0.0263,t=<num> RESIDUAL_EDGE_2826_2042 edge_disturbance,partial_residual_cluster
175,window_018,2976,3150,175,151,0,24,0.8629,0.0,0.1371,20,15,0,0.8333,0.625,0.0417,t=<num> RESIDUAL_EDGE_3003_9028 edge_disturbance,stable_attached_residual
175,window_019,3151,3325,175,159,0,16,0.9086,0.0,0.0914,10,11,0,0.625,0.6875,0.0625,t=<num> RESIDUAL_BURST_3151_5564 burst_zone,stable_attached_residual
