terrain,window_size,local_region,line_start,line_end,dominant_posture,continuity_strength,stable_share,middle_share,residual_share,transition_pressure,survival_class,boundary_note
interrupted_replay_001,300,R007,6001,7000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,400,R001,1,1200,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,400,R002,1201,2000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,400,R003,2001,3200,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,400,R004,3201,4000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,400,R005,4001,5200,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,400,R006,5201,6000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,400,R007,6001,7000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,500,R001,1,1000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,500,R002,1001,2000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,500,R003,2001,3000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,500,R004,3001,4000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,500,R005,4001,5000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,500,R006,5001,6000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,500,R007,6001,7000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,700,R001,1,700,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,700,R002,701,2100,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,700,R003,2101,2800,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,700,R004,2801,4200,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,700,R005,4201,4900,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,700,R006,4901,6300,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,700,R007,6301,7000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,1000,R001,1,1000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,1000,R002,1001,2000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,1000,R003,2001,3000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,1000,R004,3001,4000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,1000,R005,4001,5000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,1000,R006,5001,6000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,1000,R007,6001,7000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,1500,R001,1,1500,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,1500,R003,1501,3000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,1500,R004,3001,4500,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,1500,R006,4501,6000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,1500,R007,6001,7000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,2000,R001,1,2000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,2000,R003,2001,4000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,2000,R005,4001,6000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
interrupted_replay_001,2000,R007,6001,7000,stable,1.0,1.0,0.0,0.0,posture_holds,holds,constitution_relative_observer_surface_no_identity_claim
