from_window_size,to_window_size,from_segment,to_segment,from_dominant,to_dominant,from_interval,to_interval,overlap_lines,from_overlap_count,to_overlap_count,relation_type,relation_note
100,150,7,4,stable,residual,5301-5700,4951-5400,100,2,4,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
100,150,8,7,residual,stable,5701-7000,6901-7314,100,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
100,150,9,7,stable,stable,7001-7314,6901-7314,314,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
100,150,3,2,stable,residual,3401-4900,301-3450,50,1,1,recolored_overlap,observer-side overlap relation under adjacent constitution transition
150,200,1,1,middle,middle,1-300,1-200,200,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
150,200,1,2,middle,residual,1-300,201-3400,100,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
150,200,3,3,stable,stable,3451-4950,3401-4800,1350,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
150,200,3,4,stable,residual,3451-4950,4801-5400,150,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
150,200,6,5,residual,stable,5701-6900,5401-5800,100,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
150,200,6,6,residual,residual,5701-6900,5801-7000,1100,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
150,200,7,6,stable,residual,6901-7314,5801-7000,100,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
150,200,7,7,stable,stable,6901-7314,7001-7314,314,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
150,200,1,2,middle,residual,1-300,201-3400,100,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
150,200,2,2,residual,residual,301-3450,201-3400,3100,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
150,200,3,4,stable,residual,3451-4950,4801-5400,150,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
150,200,4,4,residual,residual,4951-5400,4801-5400,450,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
150,200,5,5,stable,stable,5401-5700,5401-5800,300,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
150,200,6,5,residual,stable,5701-6900,5401-5800,100,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
150,200,6,6,residual,residual,5701-6900,5801-7000,1100,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
150,200,7,6,stable,residual,6901-7314,5801-7000,100,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
150,200,2,3,residual,stable,301-3450,3401-4800,50,1,1,recolored_overlap,observer-side overlap relation under adjacent constitution transition
200,250,2,1,residual,middle,201-3400,1-250,50,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
200,250,2,2,residual,residual,201-3400,251-3500,3150,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
200,250,3,3,stable,stable,3401-4800,3501-4750,1250,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
200,250,3,4,stable,residual,3401-4800,4751-5250,50,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
200,250,4,4,residual,residual,4801-5400,4751-5250,450,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
200,250,4,5,residual,stable,4801-5400,5251-5750,150,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
200,250,5,5,stable,stable,5401-5800,5251-5750,350,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
200,250,5,6,stable,residual,5401-5800,5751-7000,50,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
200,250,7,7,stable,stable,7001-7314,7001-7250,250,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
200,250,7,8,stable,residual,7001-7314,7251-7314,64,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
200,250,1,1,middle,middle,1-200,1-250,200,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
200,250,2,1,residual,middle,201-3400,1-250,50,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
200,250,3,4,stable,residual,3401-4800,4751-5250,50,3,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
200,250,4,4,residual,residual,4801-5400,4751-5250,450,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
200,250,4,5,residual,stable,4801-5400,5251-5750,150,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
