terrain_id,focus_size,window_id,line_start,line_end,stable_share,middle_share,residual_share,dominant_posture,seam_count,posture_mix_count,legibility_class,band_sequence
hierarchical_burst_structural_v2,25,130,3226,3250,0.96,0.0,0.04,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,131,3251,3275,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,132,3276,3300,0.92,0.0,0.08,stable,36,2,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,133,3301,3325,0.96,0.0,0.04,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,134,3326,3350,0.68,0.0,0.32,stable,36,2,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,135,3351,3375,0.2,0.0,0.8,residual,36,2,dominant_residual,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,136,3376,3400,0.84,0.0,0.16,stable,36,2,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,137,3401,3425,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,138,3426,3450,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,139,3451,3475,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,140,3476,3500,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,141,3501,3525,1.0,0.0,0.0,stable,36,1,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,142,3526,3550,0.92,0.0,0.08,stable,36,2,dominant_stable,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,143,3551,3575,0.44,0.0,0.56,residual,36,2,mixed,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
hierarchical_burst_structural_v2,25,144,3576,3600,0.28,0.0,0.72,residual,36,2,dominant_residual,SSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSSRSSSSSSSSRSSSSSSSRRSSSSSSSRRSSSSSSS
