terrain_id,from_focus_size,to_focus_size,from_line_start,from_line_end,to_line_start,to_line_end,overlap_ratio,from_posture,to_posture,from_legibility,to_legibility,delta_stable,delta_middle,delta_residual,transition_marker
rr_interval_4002_first_50000_001,100,125,18901,19000,18876,19000,1.0000,stable,stable,dominant_stable,dominant_stable,0.0060,-0.0060,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,19001,19100,19001,19125,1.0000,stable,stable,dominant_stable,dominant_stable,0.0240,-0.0140,-0.0100,persisted
rr_interval_4002_first_50000_001,100,125,19101,19200,19126,19250,0.7500,stable,stable,dominant_stable,dominant_stable,-0.0040,0.0040,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,19201,19300,19126,19250,0.5000,stable,stable,dominant_stable,dominant_stable,0.0460,-0.0260,-0.0200,persisted
rr_interval_4002_first_50000_001,100,125,19301,19400,19251,19375,0.7500,stable,stable,dominant_stable,dominant_stable,0.0300,-0.0300,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,19401,19500,19376,19500,1.0000,stable,stable,dominant_stable,dominant_stable,0.0800,-0.0800,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,19501,19600,19501,19625,1.0000,stable,stable,dominant_stable,dominant_stable,0.0500,-0.0500,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,19601,19700,19626,19750,0.7500,stable,stable,dominant_stable,dominant_stable,-0.0300,0.0320,-0.0020,persisted
rr_interval_4002_first_50000_001,100,125,19701,19800,19626,19750,0.5000,stable,stable,dominant_stable,dominant_stable,-0.0800,0.0720,0.0080,persisted
rr_interval_4002_first_50000_001,100,125,19801,19900,19751,19875,0.7500,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,19901,20000,19876,20000,1.0000,stable,stable,dominant_stable,dominant_stable,0.0160,-0.0160,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,20001,20100,20001,20125,1.0000,stable,stable,dominant_stable,dominant_stable,0.0020,-0.0020,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,20101,20200,20126,20250,0.7500,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,20201,20300,20126,20250,0.5000,stable,stable,dominant_stable,dominant_stable,0.0200,-0.0200,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,20301,20400,20251,20375,0.7500,stable,stable,dominant_stable,dominant_stable,-0.0040,0.0040,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,20401,20500,20376,20500,1.0000,stable,stable,dominant_stable,dominant_stable,-0.0320,0.0240,0.0080,persisted
rr_interval_4002_first_50000_001,100,125,20501,20600,20501,20625,1.0000,stable,stable,dominant_stable,dominant_stable,0.0060,-0.0060,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,20601,20700,20626,20750,0.7500,stable,stable,dominant_stable,dominant_stable,-0.0040,0.0040,0.0000,persisted
